path,classification,diameter
main\Late erythroblast\Late erythroblast_2744.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2745.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2746.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2747.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2748.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2749.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2750.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2751.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2752.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2753.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2754.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2755.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2756.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2757.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2758.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2759.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2760.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2761.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2762.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2763.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2764.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2765.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2766.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2767.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2768.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2769.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2770.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2771.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2772.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2773.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_2774.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2775.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2776.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2777.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2778.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2779.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2780.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2781.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2782.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2783.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2784.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2785.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2786.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2787.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2788.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2789.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2790.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2791.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2792.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2793.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2794.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2795.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2796.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2797.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2798.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2799.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2800.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2801.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2802.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2803.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2804.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2805.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2806.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2807.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2808.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2809.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2810.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2811.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2812.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2813.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2814.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2815.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2816.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2817.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2818.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2819.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2820.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2821.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2822.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2823.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2824.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2825.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2826.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2827.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2828.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2829.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2830.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_2831.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2832.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2833.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2834.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2835.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2836.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2837.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2838.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2839.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2840.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2841.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2842.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2843.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2844.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2845.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2846.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2847.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2848.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2849.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2850.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2851.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2852.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2853.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2854.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2855.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2856.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2857.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2858.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2859.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2860.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2861.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2862.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2863.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2864.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2865.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2866.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_2867.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2868.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2869.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2870.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2871.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2872.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2873.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2874.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2875.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2876.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2877.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2878.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2879.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2880.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2881.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2882.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2883.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2884.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2885.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2886.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2887.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2888.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2889.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2890.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2891.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2892.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2893.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2894.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2895.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2896.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2897.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2898.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2899.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2900.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2901.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2902.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2903.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2904.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2905.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2906.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_2907.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2908.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2909.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2910.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2911.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2912.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2913.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2914.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2915.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2916.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2917.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2918.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2919.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2920.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2921.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2922.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2923.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2924.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2925.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2926.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2927.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2928.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2929.jpeg,Late erythroblast,9.1
main\Late erythroblast\Late erythroblast_2930.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2931.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2932.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2933.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2934.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2935.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2936.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2937.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2938.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2939.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2940.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2941.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2942.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2943.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2944.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2945.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2946.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2947.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2948.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2949.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2950.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2951.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2952.jpeg,Late erythroblast,9.5
main\Late erythroblast\Late erythroblast_2953.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2954.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2955.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2956.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2957.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2958.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2959.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2960.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2961.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2962.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2963.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2964.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2965.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2966.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2967.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2968.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2969.jpeg,Late erythroblast,10
main\Late erythroblast\Late erythroblast_2970.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2971.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2972.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2973.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2974.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2975.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2976.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2977.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2978.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2979.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2980.jpeg,Late erythroblast,10.6
main\Late erythroblast\Late erythroblast_2981.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2982.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2983.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2984.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2985.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2986.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2987.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2988.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2989.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2990.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2991.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2992.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2993.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2994.jpeg,Late erythroblast,11
main\Late erythroblast\Late erythroblast_2995.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_2996.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_2997.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_2998.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_2999.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_3000.jpeg,Late erythroblast,11.5
main\Late erythroblast\Late erythroblast_3001.jpeg,Late erythroblast,4.8
main\Late erythroblast\Late erythroblast_3002.jpeg,Late erythroblast,5.7
main\Late erythroblast\Late erythroblast_3003.jpeg,Late erythroblast,5.7
main\Late erythroblast\Late erythroblast_3004.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3005.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3006.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3007.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3008.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3009.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3010.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3011.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3012.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3013.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3014.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3015.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3016.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3017.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3018.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3019.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3020.jpeg,Late erythroblast,6.2
main\Late erythroblast\Late erythroblast_3021.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3022.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3023.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3024.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3025.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3026.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3027.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3028.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3029.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3030.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3031.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3032.jpeg,Late erythroblast,6.8
main\Late erythroblast\Late erythroblast_3033.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3034.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3035.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3036.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3037.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3038.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3039.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3040.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3041.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3042.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3043.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3044.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3045.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3046.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3047.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3048.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3049.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3050.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3051.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3052.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3053.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3054.jpeg,Late erythroblast,7.2
main\Late erythroblast\Late erythroblast_3055.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3056.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3057.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3058.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3059.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3060.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3061.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3062.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3063.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3064.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3065.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3066.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3067.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3068.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3069.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3070.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3071.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3072.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3073.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3074.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3075.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3076.jpeg,Late erythroblast,7.6
main\Late erythroblast\Late erythroblast_3077.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3078.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3079.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3080.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3081.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3082.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3083.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3084.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3085.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3086.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3087.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3088.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3089.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3090.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3091.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3092.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3093.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3094.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3095.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3096.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3097.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3098.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3099.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3100.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3101.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3102.jpeg,Late erythroblast,8.1
main\Late erythroblast\Late erythroblast_3103.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3104.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3105.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3106.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3107.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3108.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3109.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3110.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3111.jpeg,Late erythroblast,8.6
main\Late erythroblast\Late erythroblast_3112.jpeg,Late erythroblast,8.6
