path,classification,diameter,camera resolution
add\Late erythroblast\Late erythroblast_152.jpeg,Late erythroblast,5.3,6M
add\Late erythroblast\Late erythroblast_153.jpeg,Late erythroblast,5.7,6M
add\Late erythroblast\Late erythroblast_154.jpeg,Late erythroblast,7.7,6M
add\Late erythroblast\Late erythroblast_155.jpeg,Late erythroblast,6.2,6M
add\Late erythroblast\Late erythroblast_156.jpeg,Late erythroblast,7.6,6M
add\Late erythroblast\Late erythroblast_157.jpeg,Late erythroblast,6.8,6M
add\Late erythroblast\Late erythroblast_158.jpeg,Late erythroblast,9.4,6M
add\Late erythroblast\Late erythroblast_159.jpeg,Late erythroblast,5.7,6M
add\Late erythroblast\Late erythroblast_160.jpeg,Late erythroblast,7.7,6M
add\Late erythroblast\Late erythroblast_161.jpeg,Late erythroblast,8.6,6M
add\Late erythroblast\Late erythroblast_162.jpeg,Late erythroblast,5.3,6M
add\Late erythroblast\Late erythroblast_163.jpeg,Late erythroblast,5.7,6M
add\Late erythroblast\Late erythroblast_164.jpeg,Late erythroblast,9.5,6M
add\Late erythroblast\Late erythroblast_165.jpeg,Late erythroblast,11.1,6M
add\Late erythroblast\Late erythroblast_166.jpeg,Late erythroblast,7.1,6M
add\Late erythroblast\Late erythroblast_167.jpeg,Late erythroblast,6.7,6M
add\Late erythroblast\Late erythroblast_168.jpeg,Late erythroblast,4,6M
add\Late erythroblast\Late erythroblast_169.jpeg,Late erythroblast,8.2,6M
add\Late erythroblast\Late erythroblast_170.jpeg,Late erythroblast,11.8,6M
add\Late erythroblast\Late erythroblast_171.jpeg,Late erythroblast,11.1,6M
add\Late erythroblast\Late erythroblast_172.jpeg,Late erythroblast,9.1,6M
add\Late erythroblast\Late erythroblast_173.jpeg,Late erythroblast,9.9,6M
add\Late erythroblast\Late erythroblast_174.jpeg,Late erythroblast,9.5,6M
add\Late erythroblast\Late erythroblast_175.jpeg,Late erythroblast,9.1,6M
add\Late erythroblast\Late erythroblast_176.jpeg,Late erythroblast,8.3,6M
add\Late erythroblast\Late erythroblast_177.jpeg,Late erythroblast,8.6,6M
add\Late erythroblast\Late erythroblast_178.jpeg,Late erythroblast,7.3,6M
add\Late erythroblast\Late erythroblast_179.jpeg,Late erythroblast,7.6,6M
add\Late erythroblast\Late erythroblast_180.jpeg,Late erythroblast,9.4,6M
add\Late erythroblast\Late erythroblast_181.jpeg,Late erythroblast,7.5,6M
add\Late erythroblast\Late erythroblast_182.jpeg,Late erythroblast,9.1,6M
add\Late erythroblast\Late erythroblast_183.jpeg,Late erythroblast,7.8,6M
add\Late erythroblast\Late erythroblast_184.jpeg,Late erythroblast,7.8,6M
add\Late erythroblast\Late erythroblast_185.jpeg,Late erythroblast,8.6,6M
add\Late erythroblast\Late erythroblast_186.jpeg,Late erythroblast,7.7,6M
add\Late erythroblast\Late erythroblast_187.jpeg,Late erythroblast,6.7,6M
add\Late erythroblast\Late erythroblast_188.jpeg,Late erythroblast,7.6,6M
add\Late erythroblast\Late erythroblast_189.jpeg,Late erythroblast,6.1,6M
add\Late erythroblast\Late erythroblast_190.jpeg,Late erythroblast,10.8,6M
add\Late erythroblast\Late erythroblast_191.jpeg,Late erythroblast,10.5,6M
add\Late erythroblast\Late erythroblast_192.jpeg,Late erythroblast,7.9,6M
add\Late erythroblast\Late erythroblast_193.jpeg,Late erythroblast,8.5,6M
add\Late erythroblast\Late erythroblast_194.jpeg,Late erythroblast,8.2,6M
add\Late erythroblast\Late erythroblast_195.jpeg,Late erythroblast,10.5,6M
add\Late erythroblast\Late erythroblast_196.jpeg,Late erythroblast,9.1,6M
add\Late erythroblast\Late erythroblast_197.jpeg,Late erythroblast,8.7,6M
add\Late erythroblast\Late erythroblast_198.jpeg,Late erythroblast,10.6,6M
add\Late erythroblast\Late erythroblast_199.jpeg,Late erythroblast,9.1,6M
add\Late erythroblast\Late erythroblast_200.jpeg,Late erythroblast,9.4,6M
add\Late erythroblast\Late erythroblast_201.jpeg,Late erythroblast,8.3,6M
add\Late erythroblast\Late erythroblast_202.jpeg,Late erythroblast,9,6M
add\Late erythroblast\Late erythroblast_203.jpeg,Late erythroblast,6.9,6M
add\Late erythroblast\Late erythroblast_204.jpeg,Late erythroblast,8.7,6M
add\Late erythroblast\Late erythroblast_205.jpeg,Late erythroblast,6.5,6M
add\Late erythroblast\Late erythroblast_206.jpeg,Late erythroblast,7,6M
add\Late erythroblast\Late erythroblast_207.jpeg,Late erythroblast,7.1,6M
add\Late erythroblast\Late erythroblast_208.jpeg,Late erythroblast,6,6M
add\Late erythroblast\Late erythroblast_209.jpeg,Late erythroblast,6.7,6M
add\Late erythroblast\Late erythroblast_210.jpeg,Late erythroblast,6.4,6M
add\Late erythroblast\Late erythroblast_211.jpeg,Late erythroblast,7.5,6M
add\Mature lymphocyte\Mature lymphocyte_000.jpeg,Mature lymphocyte,12.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_001.jpeg,Mature lymphocyte,14.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_002.jpeg,Mature lymphocyte,15,1.6M
add\Mature lymphocyte\Mature lymphocyte_003.jpeg,Mature lymphocyte,12.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_004.jpeg,Mature lymphocyte,11.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_005.jpeg,Mature lymphocyte,7.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_006.jpeg,Mature lymphocyte,8.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_007.jpeg,Mature lymphocyte,7.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_008.jpeg,Mature lymphocyte,11.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_009.jpeg,Mature lymphocyte,7.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_010.jpeg,Mature lymphocyte,18.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_011.jpeg,Mature lymphocyte,12.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_012.jpeg,Mature lymphocyte,13.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_013.jpeg,Mature lymphocyte,16.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_014.jpeg,Mature lymphocyte,8.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_015.jpeg,Mature lymphocyte,7.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_016.jpeg,Mature lymphocyte,14.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_017.jpeg,Mature lymphocyte,7.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_018.jpeg,Mature lymphocyte,14.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_019.jpeg,Mature lymphocyte,10.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_020.jpeg,Mature lymphocyte,10.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_021.jpeg,Mature lymphocyte,7.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_022.jpeg,Mature lymphocyte,16.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_023.jpeg,Mature lymphocyte,16.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_024.jpeg,Mature lymphocyte,15.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_025.jpeg,Mature lymphocyte,11.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_026.jpeg,Mature lymphocyte,10.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_027.jpeg,Mature lymphocyte,9.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_028.jpeg,Mature lymphocyte,13.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_029.jpeg,Mature lymphocyte,11.6,1.6M
add\Mature lymphocyte\Mature lymphocyte_030.jpeg,Mature lymphocyte,13.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_031.jpeg,Mature lymphocyte,12.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_032.jpeg,Mature lymphocyte,10,1.6M
add\Mature lymphocyte\Mature lymphocyte_033.jpeg,Mature lymphocyte,10,1.6M
add\Mature lymphocyte\Mature lymphocyte_034.jpeg,Mature lymphocyte,13.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_035.jpeg,Mature lymphocyte,12.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_036.jpeg,Mature lymphocyte,11.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_037.jpeg,Mature lymphocyte,12.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_038.jpeg,Mature lymphocyte,13.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_039.jpeg,Mature lymphocyte,11.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_040.jpeg,Mature lymphocyte,10,1.6M
add\Mature lymphocyte\Mature lymphocyte_041.jpeg,Mature lymphocyte,6.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_042.jpeg,Mature lymphocyte,7.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_043.jpeg,Mature lymphocyte,9.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_044.jpeg,Mature lymphocyte,8.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_045.jpeg,Mature lymphocyte,8,1.6M
add\Mature lymphocyte\Mature lymphocyte_046.jpeg,Mature lymphocyte,9.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_047.jpeg,Mature lymphocyte,5.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_048.jpeg,Mature lymphocyte,11.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_049.jpeg,Mature lymphocyte,11.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_050.jpeg,Mature lymphocyte,6.1,1.6M
add\Mature lymphocyte\Mature lymphocyte_051.jpeg,Mature lymphocyte,9.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_052.jpeg,Mature lymphocyte,9.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_053.jpeg,Mature lymphocyte,4.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_054.jpeg,Mature lymphocyte,5.1,1.6M
add\Mature lymphocyte\Mature lymphocyte_055.jpeg,Mature lymphocyte,5.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_056.jpeg,Mature lymphocyte,8.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_057.jpeg,Mature lymphocyte,8.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_058.jpeg,Mature lymphocyte,7.2,1.6M
add\Mature lymphocyte\Mature lymphocyte_059.jpeg,Mature lymphocyte,9.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_060.jpeg,Mature lymphocyte,14.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_061.jpeg,Mature lymphocyte,9.5,1.6M
add\Mature lymphocyte\Mature lymphocyte_062.jpeg,Mature lymphocyte,8.1,1.6M
add\Mature lymphocyte\Mature lymphocyte_063.jpeg,Mature lymphocyte,7,1.6M
add\Mature lymphocyte\Mature lymphocyte_064.jpeg,Mature lymphocyte,12.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_065.jpeg,Mature lymphocyte,11.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_066.jpeg,Mature lymphocyte,14.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_067.jpeg,Mature lymphocyte,9.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_068.jpeg,Mature lymphocyte,9.1,1.6M
add\Mature lymphocyte\Mature lymphocyte_069.jpeg,Mature lymphocyte,16.1,1.6M
add\Mature lymphocyte\Mature lymphocyte_070.jpeg,Mature lymphocyte,16.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_071.jpeg,Mature lymphocyte,12,1.6M
add\Mature lymphocyte\Mature lymphocyte_072.jpeg,Mature lymphocyte,13.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_073.jpeg,Mature lymphocyte,12.7,1.6M
add\Mature lymphocyte\Mature lymphocyte_074.jpeg,Mature lymphocyte,8.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_075.jpeg,Mature lymphocyte,13,1.6M
add\Mature lymphocyte\Mature lymphocyte_076.jpeg,Mature lymphocyte,8,1.6M
add\Mature lymphocyte\Mature lymphocyte_077.jpeg,Mature lymphocyte,13.3,1.6M
add\Mature lymphocyte\Mature lymphocyte_078.jpeg,Mature lymphocyte,9.4,1.6M
add\Mature lymphocyte\Mature lymphocyte_079.jpeg,Mature lymphocyte,10.8,1.6M
add\Mature lymphocyte\Mature lymphocyte_080.jpeg,Mature lymphocyte,10.9,1.6M
add\Mature lymphocyte\Mature lymphocyte_081.jpeg,Mature lymphocyte,12,1.6M
add\Mature lymphocyte\Mature lymphocyte_082.jpeg,Mature lymphocyte,10.3,5M
add\Mature lymphocyte\Mature lymphocyte_083.jpeg,Mature lymphocyte,12.2,5M
add\Mature lymphocyte\Mature lymphocyte_084.jpeg,Mature lymphocyte,17.1,5M
add\Mature lymphocyte\Mature lymphocyte_085.jpeg,Mature lymphocyte,19.6,5M
add\Mature lymphocyte\Mature lymphocyte_086.jpeg,Mature lymphocyte,9.4,5M
add\Mature lymphocyte\Mature lymphocyte_087.jpeg,Mature lymphocyte,21.6,5M
add\Mature lymphocyte\Mature lymphocyte_088.jpeg,Mature lymphocyte,10.9,6M
add\Mature lymphocyte\Mature lymphocyte_089.jpeg,Mature lymphocyte,7.2,6M
add\Mature lymphocyte\Mature lymphocyte_090.jpeg,Mature lymphocyte,9.7,6M
add\Mature lymphocyte\Mature lymphocyte_091.jpeg,Mature lymphocyte,7.7,6M
add\Mature lymphocyte\Mature lymphocyte_092.jpeg,Mature lymphocyte,18.2,6M
add\Mature lymphocyte\Mature lymphocyte_093.jpeg,Mature lymphocyte,6.3,6M
add\Mature lymphocyte\Mature lymphocyte_094.jpeg,Mature lymphocyte,7.8,6M
add\Mature lymphocyte\Mature lymphocyte_095.jpeg,Mature lymphocyte,7.7,6M
add\Mature lymphocyte\Mature lymphocyte_096.jpeg,Mature lymphocyte,9.9,6M
add\Mature lymphocyte\Mature lymphocyte_097.jpeg,Mature lymphocyte,8.1,6M
add\Mature lymphocyte\Mature lymphocyte_098.jpeg,Mature lymphocyte,12.3,6M
add\Mature lymphocyte\Mature lymphocyte_099.jpeg,Mature lymphocyte,12.5,6M
add\Mature lymphocyte\Mature lymphocyte_100.jpeg,Mature lymphocyte,9.2,6M
add\Mature lymphocyte\Mature lymphocyte_101.jpeg,Mature lymphocyte,8.8,6M
add\Mature lymphocyte\Mature lymphocyte_102.jpeg,Mature lymphocyte,9.1,6M
add\Mature lymphocyte\Mature lymphocyte_103.jpeg,Mature lymphocyte,6.7,6M
add\Mature lymphocyte\Mature lymphocyte_104.jpeg,Mature lymphocyte,9.5,6M
add\Mature lymphocyte\Mature lymphocyte_105.jpeg,Mature lymphocyte,7.8,6M
add\Mature lymphocyte\Mature lymphocyte_106.jpeg,Mature lymphocyte,7.7,6M
add\Mature lymphocyte\Mature lymphocyte_107.jpeg,Mature lymphocyte,7.4,6M
add\Mature lymphocyte\Mature lymphocyte_108.jpeg,Mature lymphocyte,9.1,6M
add\Mature lymphocyte\Mature lymphocyte_109.jpeg,Mature lymphocyte,5.9,6M
add\Mature lymphocyte\Mature lymphocyte_110.jpeg,Mature lymphocyte,5.8,6M
add\Mature lymphocyte\Mature lymphocyte_111.jpeg,Mature lymphocyte,11,6M
add\Mature lymphocyte\Mature lymphocyte_112.jpeg,Mature lymphocyte,6.7,6M
add\Mature lymphocyte\Mature lymphocyte_113.jpeg,Mature lymphocyte,8.9,6M
add\Mature lymphocyte\Mature lymphocyte_114.jpeg,Mature lymphocyte,7.8,6M
add\Mature lymphocyte\Mature lymphocyte_115.jpeg,Mature lymphocyte,8.5,6M
add\Mature lymphocyte\Mature lymphocyte_116.jpeg,Mature lymphocyte,12.3,6M
add\Mature lymphocyte\Mature lymphocyte_117.jpeg,Mature lymphocyte,12.5,6M
add\Mature lymphocyte\Mature lymphocyte_118.jpeg,Mature lymphocyte,13.7,6M
add\Mature lymphocyte\Mature lymphocyte_119.jpeg,Mature lymphocyte,11.6,6M
add\Mature lymphocyte\Mature lymphocyte_120.jpeg,Mature lymphocyte,14.6,6M
add\Mature lymphocyte\Mature lymphocyte_121.jpeg,Mature lymphocyte,10.9,6M
add\Mature lymphocyte\Mature lymphocyte_122.jpeg,Mature lymphocyte,10.2,6M
add\Mature lymphocyte\Mature lymphocyte_123.jpeg,Mature lymphocyte,12.2,6M
add\Mature lymphocyte\Mature lymphocyte_124.jpeg,Mature lymphocyte,13.1,6M
add\Mature lymphocyte\Mature lymphocyte_125.jpeg,Mature lymphocyte,7.6,6M
add\Mature lymphocyte\Mature lymphocyte_126.jpeg,Mature lymphocyte,7.7,6M
add\Mature lymphocyte\Mature lymphocyte_127.jpeg,Mature lymphocyte,7.4,6M
add\Mature lymphocyte\Mature lymphocyte_128.jpeg,Mature lymphocyte,7,6M
add\Mature lymphocyte\Mature lymphocyte_129.jpeg,Mature lymphocyte,11.7,6M
add\Mature lymphocyte\Mature lymphocyte_130.jpeg,Mature lymphocyte,7.7,6M
add\Mature lymphocyte\Mature lymphocyte_131.jpeg,Mature lymphocyte,5.3,6M
add\Mature lymphocyte\Mature lymphocyte_132.jpeg,Mature lymphocyte,7.1,6M
add\Mature lymphocyte\Mature lymphocyte_133.jpeg,Mature lymphocyte,7.1,6M
add\Mature lymphocyte\Mature lymphocyte_134.jpeg,Mature lymphocyte,20.9,6M
add\Mature lymphocyte\Mature lymphocyte_135.jpeg,Mature lymphocyte,10,6M
add\Mature lymphocyte\Mature lymphocyte_136.jpeg,Mature lymphocyte,7.2,6M
add\Mature lymphocyte\Mature lymphocyte_137.jpeg,Mature lymphocyte,6.2,6M
add\Mature lymphocyte\Mature lymphocyte_138.jpeg,Mature lymphocyte,8.7,6M
add\Mature lymphocyte\Mature lymphocyte_139.jpeg,Mature lymphocyte,8.5,6M
add\Mature lymphocyte\Mature lymphocyte_140.jpeg,Mature lymphocyte,7.8,6M
add\Mature lymphocyte\Mature lymphocyte_141.jpeg,Mature lymphocyte,8.5,6M
add\Mature lymphocyte\Mature lymphocyte_142.jpeg,Mature lymphocyte,12.7,6M
add\Mature lymphocyte\Mature lymphocyte_143.jpeg,Mature lymphocyte,13.4,6M
add\Mature lymphocyte\Mature lymphocyte_144.jpeg,Mature lymphocyte,8.5,6M
add\Mature lymphocyte\Mature lymphocyte_145.jpeg,Mature lymphocyte,10.9,6M
add\Mature lymphocyte\Mature lymphocyte_146.jpeg,Mature lymphocyte,12.7,6M
add\Mature lymphocyte\Mature lymphocyte_147.jpeg,Mature lymphocyte,8.8,6M
add\Mature lymphocyte\Mature lymphocyte_148.jpeg,Mature lymphocyte,14.2,6M
add\Mature lymphocyte\Mature lymphocyte_149.jpeg,Mature lymphocyte,11.4,6M
add\Mature lymphocyte\Mature lymphocyte_150.jpeg,Mature lymphocyte,7.2,6M
add\Mature lymphocyte\Mature lymphocyte_151.jpeg,Mature lymphocyte,9.9,6M
add\Mature lymphocyte\Mature lymphocyte_152.jpeg,Mature lymphocyte,6.9,6M
add\Mature lymphocyte\Mature lymphocyte_153.jpeg,Mature lymphocyte,11.1,6M
add\Megakaryocyte\Megakaryocyte_000.jpeg,Megakaryocyte,42,5M
add\Megakaryocyte\Megakaryocyte_001.jpeg,Megakaryocyte,52.8,5M
add\Megakaryocyte\Megakaryocyte_002.jpeg,Megakaryocyte,43.6,6M
add\Megakaryocyte\Megakaryocyte_003.jpeg,Megakaryocyte,41.6,6M
add\Megakaryocyte\Megakaryocyte_004.jpeg,Megakaryocyte,17.5,6M
add\Mitosis\Mitosis_000.jpeg,Mitosis,15.5,1.6M
add\Mitosis\Mitosis_001.jpeg,Mitosis,8.9,1.6M
add\Mitosis\Mitosis_002.jpeg,Mitosis,16.1,1.6M
add\Mitosis\Mitosis_003.jpeg,Mitosis,15.8,6M
add\Mitosis\Mitosis_004.jpeg,Mitosis,15.1,6M
add\Mitosis\Mitosis_005.jpeg,Mitosis,12.4,6M
add\Mitosis\Mitosis_006.jpeg,Mitosis,14.7,6M
add\Monocyte\Monocyte_000.jpeg,Monocyte,15.8,1.6M
add\Monocyte\Monocyte_001.jpeg,Monocyte,12.7,1.6M
add\Monocyte\Monocyte_002.jpeg,Monocyte,12.8,1.6M
add\Monocyte\Monocyte_003.jpeg,Monocyte,16.3,1.6M
add\Monocyte\Monocyte_004.jpeg,Monocyte,13.5,1.6M
add\Monocyte\Monocyte_005.jpeg,Monocyte,17.1,1.6M
add\Monocyte\Monocyte_006.jpeg,Monocyte,13.8,1.6M
add\Monocyte\Monocyte_007.jpeg,Monocyte,14.9,1.6M
add\Monocyte\Monocyte_008.jpeg,Monocyte,21.2,1.6M
add\Monocyte\Monocyte_009.jpeg,Monocyte,17.4,1.6M
add\Monocyte\Monocyte_010.jpeg,Monocyte,13.5,1.6M
add\Monocyte\Monocyte_011.jpeg,Monocyte,11.6,1.6M
add\Monocyte\Monocyte_012.jpeg,Monocyte,10.5,1.6M
add\Monocyte\Monocyte_013.jpeg,Monocyte,12,1.6M
add\Monocyte\Monocyte_014.jpeg,Monocyte,13.8,1.6M
add\Monocyte\Monocyte_015.jpeg,Monocyte,12.7,1.6M
add\Monocyte\Monocyte_016.jpeg,Monocyte,13,1.6M
add\Monocyte\Monocyte_017.jpeg,Monocyte,15.2,1.6M
add\Monocyte\Monocyte_018.jpeg,Monocyte,17.7,1.6M
add\Monocyte\Monocyte_019.jpeg,Monocyte,13.9,1.6M
add\Monocyte\Monocyte_020.jpeg,Monocyte,11.9,1.6M
add\Monocyte\Monocyte_021.jpeg,Monocyte,10,1.6M
add\Monocyte\Monocyte_022.jpeg,Monocyte,13.5,1.6M
add\Monocyte\Monocyte_023.jpeg,Monocyte,16.8,5M
add\Monocyte\Monocyte_024.jpeg,Monocyte,12.6,5M
add\Monocyte\Monocyte_025.jpeg,Monocyte,11.2,5M
add\Monocyte\Monocyte_026.jpeg,Monocyte,13.6,6M
add\Monocyte\Monocyte_027.jpeg,Monocyte,11.4,6M
add\Monocyte\Monocyte_028.jpeg,Monocyte,14.6,6M
add\Monocyte\Monocyte_029.jpeg,Monocyte,14,6M
add\Monocyte\Monocyte_030.jpeg,Monocyte,13.7,6M
add\Monocyte\Monocyte_031.jpeg,Monocyte,19.6,6M
add\Monocyte\Monocyte_032.jpeg,Monocyte,15.7,6M
add\Monocyte\Monocyte_033.jpeg,Monocyte,17.9,6M
add\Monocyte\Monocyte_034.jpeg,Monocyte,13.2,6M
add\Monocyte\Monocyte_035.jpeg,Monocyte,15.4,6M
add\Monocyte\Monocyte_036.jpeg,Monocyte,18.1,6M
add\Monocyte\Monocyte_037.jpeg,Monocyte,14.1,6M
add\Monocyte\Monocyte_038.jpeg,Monocyte,15.9,6M
add\Monocyte\Monocyte_039.jpeg,Monocyte,11.6,6M
add\Monocyte\Monocyte_040.jpeg,Monocyte,11.8,6M
add\Monocyte\Monocyte_041.jpeg,Monocyte,8.7,6M
add\Monocyte\Monocyte_042.jpeg,Monocyte,20.3,6M
add\Monocyte\Monocyte_043.jpeg,Monocyte,19,6M
add\Monocyte\Monocyte_044.jpeg,Monocyte,20.4,6M
add\Monocyte\Monocyte_045.jpeg,Monocyte,18.4,6M
add\Monocyte\Monocyte_046.jpeg,Monocyte,14.6,6M
add\Monocyte\Monocyte_047.jpeg,Monocyte,18.6,6M
add\Monocyte\Monocyte_048.jpeg,Monocyte,18.7,6M
add\Monocyte\Monocyte_049.jpeg,Monocyte,16.9,6M
add\Monocyte\Monocyte_050.jpeg,Monocyte,13.7,6M
add\Monocyte\Monocyte_051.jpeg,Monocyte,20.3,6M
add\Monocyte\Monocyte_052.jpeg,Monocyte,13.3,6M
add\Myeloblast\Myeloblast_000.jpeg,Myeloblast,18.2,1.6M
add\Myeloblast\Myeloblast_001.jpeg,Myeloblast,13.8,1.6M
add\Myeloblast\Myeloblast_002.jpeg,Myeloblast,16.1,1.6M
add\Myeloblast\Myeloblast_003.jpeg,Myeloblast,20.5,1.6M
add\Myeloblast\Myeloblast_004.jpeg,Myeloblast,12.4,1.6M
add\Myeloblast\Myeloblast_005.jpeg,Myeloblast,19.1,1.6M
add\Myeloblast\Myeloblast_006.jpeg,Myeloblast,15.7,1.6M
add\Myeloblast\Myeloblast_007.jpeg,Myeloblast,15.4,1.6M
add\Myeloblast\Myeloblast_008.jpeg,Myeloblast,15.2,1.6M
add\Myeloblast\Myeloblast_009.jpeg,Myeloblast,16.3,1.6M
add\Myeloblast\Myeloblast_010.jpeg,Myeloblast,13.8,1.6M
add\Myeloblast\Myeloblast_011.jpeg,Myeloblast,14.2,1.6M
add\Myeloblast\Myeloblast_012.jpeg,Myeloblast,15.5,1.6M
add\Myeloblast\Myeloblast_013.jpeg,Myeloblast,11.9,1.6M
add\Myeloblast\Myeloblast_014.jpeg,Myeloblast,13.9,1.6M
add\Myeloblast\Myeloblast_015.jpeg,Myeloblast,17.2,1.6M
add\Myeloblast\Myeloblast_016.jpeg,Myeloblast,16.5,1.6M
add\Myeloblast\Myeloblast_017.jpeg,Myeloblast,10.9,1.6M
add\Myeloblast\Myeloblast_018.jpeg,Myeloblast,15.2,1.6M
add\Myeloblast\Myeloblast_019.jpeg,Myeloblast,14.4,1.6M
add\Myeloblast\Myeloblast_020.jpeg,Myeloblast,13.9,1.6M
add\Myeloblast\Myeloblast_021.jpeg,Myeloblast,14.6,1.6M
add\Myeloblast\Myeloblast_022.jpeg,Myeloblast,16.9,1.6M
add\Myeloblast\Myeloblast_023.jpeg,Myeloblast,11.1,1.6M
add\Myeloblast\Myeloblast_024.jpeg,Myeloblast,17.4,1.6M
add\Myeloblast\Myeloblast_025.jpeg,Myeloblast,15.4,1.6M
add\Myeloblast\Myeloblast_026.jpeg,Myeloblast,9.8,1.6M
add\Myeloblast\Myeloblast_027.jpeg,Myeloblast,11.9,1.6M
add\Myeloblast\Myeloblast_028.jpeg,Myeloblast,13.3,1.6M
add\Myeloblast\Myeloblast_029.jpeg,Myeloblast,15.7,1.6M
add\Myeloblast\Myeloblast_030.jpeg,Myeloblast,15.8,5M
add\Myeloblast\Myeloblast_031.jpeg,Myeloblast,10.7,5M
add\Myeloblast\Myeloblast_032.jpeg,Myeloblast,15.6,5M
add\Myeloblast\Myeloblast_033.jpeg,Myeloblast,15.6,5M
add\Myeloblast\Myeloblast_034.jpeg,Myeloblast,14.1,5M
add\Myeloblast\Myeloblast_035.jpeg,Myeloblast,13.8,5M
add\Myeloblast\Myeloblast_036.jpeg,Myeloblast,16.6,5M
add\Myeloblast\Myeloblast_037.jpeg,Myeloblast,14.9,5M
add\Myeloblast\Myeloblast_038.jpeg,Myeloblast,16.4,5M
add\Myeloblast\Myeloblast_039.jpeg,Myeloblast,8.3,5M
add\Myeloblast\Myeloblast_040.jpeg,Myeloblast,14.1,5M
add\Myeloblast\Myeloblast_041.jpeg,Myeloblast,8.9,5M
add\Myeloblast\Myeloblast_042.jpeg,Myeloblast,17.2,5M
add\Myeloblast\Myeloblast_043.jpeg,Myeloblast,20,5M
add\Myeloblast\Myeloblast_044.jpeg,Myeloblast,14.9,5M
add\Myeloblast\Myeloblast_045.jpeg,Myeloblast,13.6,5M
add\Myeloblast\Myeloblast_046.jpeg,Myeloblast,13.8,5M
add\Myeloblast\Myeloblast_047.jpeg,Myeloblast,13.7,5M
add\Myeloblast\Myeloblast_048.jpeg,Myeloblast,15.2,5M
add\Myeloblast\Myeloblast_049.jpeg,Myeloblast,13.4,5M
add\Myeloblast\Myeloblast_050.jpeg,Myeloblast,17,5M
add\Myeloblast\Myeloblast_051.jpeg,Myeloblast,17.2,5M
add\Myeloblast\Myeloblast_052.jpeg,Myeloblast,16.7,5M
add\Myeloblast\Myeloblast_053.jpeg,Myeloblast,18.8,5M
